Id,SalePrice
1461,128318.36
1462,151849.83333333334
1463,180108.61666666667
1464,186072.35333333333
1465,204715.46666666667
1466,184372.12666666668
1467,170398.91666666666
1468,176102.68333333332
1469,181878.49333333335
1470,120464.39333333333
1471,192230.42666666667
1472,90442.0
1473,105560.53333333334
1474,152750.86666666667
1475,141443.69
1476,369315.5966666667
1477,261342.78333333333
1478,297233.0833333333
1479,248143.91333333333
1480,422681.95666666667
1481,303591.0933333333
1482,211158.15666666668
1483,179405.82
1484,170974.04333333333
1485,171123.54
1486,196940.87333333332
1487,342779.99333333335
1488,240548.71
1489,213850.07666666666
1490,200660.76
1491,192841.38333333333
1492,98876.16666666667
1493,177381.26666666666
1494,290599.88666666666
1495,299647.68333333335
1496,214850.69333333333
1497,189140.82
1498,153048.15666666668
1499,152252.75666666665
1500,155897.84666666668
1501,168960.52666666667
1502,162261.32
1503,304240.00666666665
1504,230056.66333333333
1505,219118.94
1506,193595.76666666666
1507,228168.92
1508,206468.89666666667
1509,165375.22666666665
1510,148810.66666666666
1511,148823.64666666667
1512,170854.35
1513,152420.73333333334
1514,163579.77666666667
1515,175639.45666666667
1516,163719.11333333334
1517,150938.04
1518,129336.94
1519,221320.80666666667
1520,134880.75
1521,144221.08333333334
1522,165974.08
1523,110871.45666666667
1524,123296.66666666667
1525,126959.93666666666
1526,127242.61666666667
1527,112545.01
1528,129478.0
1529,140806.16666666666
1530,164462.94
1531,136623.47333333333
1532,104592.97
1533,147249.08333333334
1534,117606.02666666667
1535,156584.96
1536,117943.66333333333
1537,82387.84666666666
1538,195441.62
1539,241506.16333333333
1540,117978.48666666666
1541,149753.97333333333
1542,143485.25
1543,215499.02333333335
1544,78291.13666666667
1545,111224.51333333334
1546,123897.68
1547,134178.43
1548,133940.32333333333
1549,122101.56333333334
1550,145753.35666666666
1551,118800.83333333333
1552,150037.04
1553,145396.91
1554,110504.8
1555,170953.34666666668
1556,98141.77333333333
1557,127523.68
1558,95509.66333333333
1559,120764.69
1560,149778.76
1561,151597.66666666666
1562,128117.02666666667
1563,120974.75
1564,163069.20666666667
1565,152544.30333333334
1566,208154.41666666666
1567,83046.66666666667
1568,230520.77333333335
1569,151830.12666666668
1570,131299.86
1571,135343.92666666667
1572,144117.41666666666
1573,235469.88
1574,119011.83333333333
1575,206649.96666666667
1576,214826.57333333333
1577,207879.48
1578,151050.04666666666
1579,143335.5
1580,191308.60666666666
1581,138478.72666666665
1582,129902.03333333334
1583,324115.89
1584,244699.87
1585,141151.61
1586,74952.84666666666
1587,112108.5
1588,151039.66
1589,101521.51
1590,134194.37333333332
1591,104317.33333333333
1592,125584.16666666667
1593,122223.95
1594,140315.62333333332
1595,130670.91
1596,234492.94333333333
1597,159673.46666666667
1598,190009.95
1599,212685.92333333334
1600,192882.59333333332
1601,82579.66666666667
1602,119242.22
1603,106540.10666666667
1604,284489.24666666664
1605,250999.11333333334
1606,166397.60666666666
1607,171043.34666666668
1608,216546.4
1609,204450.20666666667
1610,161784.27
1611,149251.91666666666
1612,161936.25333333333
1613,167391.25333333333
1614,120539.9
1615,88970.61
1616,85348.16666666667
1617,92124.33333333333
1618,127665.44666666667
1619,134560.59333333332
1620,153831.23333333334
1621,141185.86333333334
1622,155914.69666666666
1623,296453.89666666667
1624,216248.68666666668
1625,130388.22
1626,170877.61666666667
1627,187808.55
1628,287324.8433333333
1629,176027.68333333332
1630,350919.55
1631,238051.18
1632,245998.19666666666
1633,166116.15333333332
1634,183688.18
1635,184374.85333333333
1636,162329.54666666666
1637,174265.73
1638,211871.24
1639,180683.27
1640,241992.92
1641,182943.44333333333
1642,214405.75333333333
1643,224416.75666666665
1644,229290.76
1645,181615.38
1646,152578.29
1647,161538.30333333334
1648,140246.60333333333
1649,137088.46666666667
1650,120528.66666666667
1651,120843.75
1652,91850.0
1653,98247.5
1654,161756.39333333334
1655,155527.96333333335
1656,153502.95
1657,158776.83333333334
1658,158091.02
1659,145704.85
1660,144819.61
1661,410509.7233333333
1662,375900.0733333333
1663,365785.6433333333
1664,402141.26
1665,306693.6566666667
1666,332801.25666666665
1667,361069.6
1668,317414.60333333333
1669,295212.24666666664
1670,333260.60333333333
1671,252719.34666666668
1672,423870.2133333333
1673,301341.91333333333
1674,250787.42333333334
1675,189420.18333333332
1676,189484.1
1677,215613.05
1678,393548.2033333333
1679,370757.25666666665
1680,321894.7033333333
1681,268680.85333333333
1682,301858.54333333333
1683,184708.11
1684,174679.50333333333
1685,176668.06666666668
1686,168826.42666666667
1687,166109.32
1688,189390.10333333333
1689,192842.33666666667
1690,183574.03333333333
1691,172584.61333333334
1692,271552.62
1693,168611.14333333334
1694,184241.6
1695,167596.89333333334
1696,267902.9733333333
1697,168653.43
1698,347859.87666666665
1699,320864.3466666667
1700,246131.67
1701,266239.36
1702,254519.88333333333
1703,251667.88333333333
1704,299087.62333333335
1705,240139.02
1706,377606.79
1707,223381.76
1708,221284.74333333335
1709,287653.2766666667
1710,222944.94333333333
1711,258907.91666666666
1712,237581.72333333333
1713,237432.52666666667
1714,219212.15333333332
1715,204275.42666666667
1716,176996.07333333333
1717,161599.87666666668
1718,138505.41666666666
1719,206394.66
1720,255927.18666666668
1721,160785.67666666667
1722,124459.15666666666
1723,151895.54
1724,216994.13
1725,232380.94666666666
1726,190176.31
1727,178489.66666666666
1728,184962.45333333334
1729,164444.17333333334
1730,168891.53333333333
1731,121669.06333333334
1732,130558.06333333334
1733,123649.10333333333
1734,128526.86
1735,133559.19333333333
1736,113734.43
1737,360792.93666666665
1738,217026.39
1739,259359.05666666667
1740,194256.02666666667
1741,183609.95666666667
1742,168576.60333333333
1743,164840.45
1744,321309.5833333333
1745,225225.29666666666
1746,265612.15
1747,218231.04666666666
1748,206867.89333333334
1749,159319.79
1750,149817.70333333334
1751,234440.18
1752,124454.05333333333
1753,143330.08666666667
1754,215371.96
1755,165250.10333333333
1756,122334.44333333333
1757,121133.88666666667
1758,149315.85666666666
1759,166972.76
1760,156932.66666666666
1761,153945.66666666666
1762,173691.32333333333
1763,167784.1
1764,117885.0
1765,171779.33333333334
1766,171902.11666666667
1767,205234.26666666666
1768,138764.05
1769,158446.25
1770,138957.33333333334
1771,139437.83333333334
1772,140676.69666666666
1773,141615.33333333334
1774,128794.60666666667
1775,130495.17333333334
1776,123597.36
1777,119071.0
1778,129228.27666666667
1779,121537.69333333333
1780,177839.06666666668
1781,132048.58333333334
1782,100550.16333333333
1783,130810.64666666667
1784,105347.68
1785,118730.02666666667
1786,150561.84333333332
1787,162829.40333333332
1788,62025.513333333336
1789,101541.5
1790,94603.11
1791,192473.78
1792,151539.83333333334
1793,141762.69
1794,142440.2
1795,136197.75666666665
1796,126761.16666666667
1797,115546.74
